Temperature,Experimental Group,Use Case,Sentence,Objective,Pattern,Accuracy,Min,Max,Precision,Count
UCR26a,control,UC1-Mobile,1.0,ay,1.0,0.9137567440668742,0.7611250877380371,0.9268916845321655,0.9576939518471765,15
UCR26a,control,UC1-Mobile,1.0,c,1.0,0.9285288266837597,0.7319183945655823,0.9500658512115479,0.9430634312459438,16
UCR26a,control,UC1-Mobile,1.0,i,2.0,0.7607003688812256,0.6742885708808899,0.8560558557510376,0.9288940486120747,15
UCR26a,control,UC1-Mobile,1.0,ia,2.0,0.4425038576126099,0.4277790188789368,0.522161602973938,0.9719699776665052,15
UCR26a,control,UC1-Mobile,2.0,ay,1.0,0.9576580206553141,0.9528296589851379,0.959621012210846,0.9979763468410093,15
UCR26a,control,UC1-Mobile,2.0,c,1.0,0.9993261098861694,0.9993261098861694,0.9993261098861694,1.0,15
UCR26a,control,UC1-Mobile,2.0,ia,2.0,0.42473436594009406,0.4234142899513245,0.4300146698951721,0.9972671830733061,15
UCR26a,control,UC1-Mobile,3.0,ay,1.0,0.8679197470347086,0.7840597629547119,0.8772388696670532,0.9761893335962233,15
UCR26a,control,UC1-Mobile,3.0,c,1.0,0.7413277250749094,0.6580274105072021,0.8523967266082764,0.9343720528119539,27
UCR26a,control,UC1-Mobile,3.0,i,2.0,0.7126786492087624,0.4188048839569092,0.7965430021286011,0.9216707493115374,22
UCR26a,control,UC1-Mobile,3.0,ia,2.0,0.5099275588989258,0.4933748841285706,0.5444637537002563,0.9757090880827661,15
UCR26a,control,UC1-Mobile,4.0,ay,1.0,0.9270920475323995,0.9164714813232422,0.9620553255081177,0.9890112872905761,15
UCR26a,control,UC1-Mobile,4.0,c,1.0,0.73759835296207,0.6052817106246948,0.8585280776023865,0.9276524769213186,27
UCR26a,control,UC1-Mobile,4.0,i,2.0,0.7464530343810717,0.5953817367553711,0.9085738658905029,0.9242318971197871,24
UCR26a,control,UC1-Mobile,4.0,ia,2.0,0.5040566444396973,0.4933748841285706,0.5444637537002563,0.9801101231252386,15
UCR26a,control,UC1-Mobile,5.0,ay,1.0,0.9605143149693807,0.908291220664978,0.9698672890663147,0.97925797520796,15
UCR26a,control,UC1-Mobile,5.0,c,1.0,0.8576986337530201,0.6865887641906738,0.9592326879501343,0.8983972278759385,29
UCR26a,control,UC1-Mobile,5.0,i,2.0,0.8045004804929098,0.6917209029197693,0.9583951234817505,0.9240255458293105,15
UCR26a,control,UC1-Mobile,5.0,ia,2.0,0.5042302012443542,0.4666616320610046,0.530379056930542,0.9867638283102682,15
UCR26a,control,UC1-Mobile,6.0,ay,3.0,0.740407624414989,0.6661679744720459,0.7888191938400269,0.949069746398443,14
UCR26a,control,UC1-Mobile,6.0,c,1.0,0.7662203311920166,0.7422494888305664,0.7901911735534668,0.9661001096309296,2
UCR26a,control,UC1-Mobile,7.0,c,1.0,0.7812847519914309,0.7396540641784668,0.8242297768592834,0.9627891441054472,24
UCR26a,control,UC1-Mobile,8.0,ay,1.0,0.9713320573170979,0.9436967372894287,0.9825749397277832,0.983725848590135,15
UCR26a,control,UC1-Mobile,8.0,c,1.0,0.8856017390886942,0.840853750705719,0.9440476298332214,0.9578053116527039,18
UCR26a,control,UC1-Mobile,9.0,ay,1.0,0.9513350576162338,0.9151851534843445,0.9597945213317871,0.9852932901010514,8
UCR26a,control,UC1-Mobile,9.0,c,1.0,0.7526084303855896,0.7087236642837524,0.8623952269554138,0.9323447222667309,5
UCR26a,control,UC2-Health,1.0,c,1.0,0.9505321542421977,0.9020504951477051,0.9576830863952637,0.9811135946650816,15
UCR26a,control,UC2-Health,2.0,ay,1.0,0.8975616137186686,0.8823935389518738,0.9020441174507141,0.9918685007027522,15
UCR26a,control,UC2-Health,3.0,ay,1.0,0.8504157781600952,0.8399749994277954,0.8599044680595398,0.9915717136174795,15
UCR26a,control,UC2-Health,3.0,c,1.0,0.8322383165359497,0.8322383165359497,0.8322383165359497,1.0,15
UCR26a,control,UC2-Health,3.0,pr,1.0,0.8602217435836792,0.8602217435836792,0.8602217435836792,1.0,2
